24 01 2021 1900
48
Hamilton	261	163	21.9	14.2	1005.7	1011.8
Tauranga	288	161	27.2	12.2	1008.5	1008.9
Hicks-Bay	346	156	21.4	16.8	1003.9	1009.1
Port-Taharoa	246	174	20.2	15.2	1010.1	1012.9
Taupo	282	189	23.1	15.3	962.7	1009
Gisborne	339	198	22.4	14.8	1007.8	1008.3
New-Plymouth	228	208	19.2	15.9	1009.2	1012.7
Hawera	231	227	20	11.4	999.6	1011.2
Whanganui	248	239	21.2	11.5	1009.3	1010.3
Waiouru	265	214	19.7	9.6	918.3	-999
Napier	307	226	22	14.7	1007.8	1008.1
Mahia	336	216	20.2	13.7	992.9	1008.6
Palmerston-North	270	256	19.4	13.1	1004.7	1010.1
Levin	261	264	18.8	13.3	1009.5	1011.1
Paraparaumu	254	279	18.8	12.8	1009.2	1009.9
Wellington	246	291	19.4	13.4	1005.5	1007
Ngawi	259	302	24.2	10.6	1003.8	1004.5
Castlepoint	285	276	20.3	10.4	991.3	1005
Westport	158	308	18.6	13.6	1011.3	1011.7
Farewell-Spit	191	262	19.5	10.8	1007.7	1008.1
Nelson	202	290	21	14.4	1006.4	1007
Stephens-Island	225	265	16.4	11.8	985.5	1007.4
Cape-Campbell	231	309	17.7	14.5	1002.1	1002.7
Hokitika	149	330	16.6	14.7	1006.5	1012
Kaikoura	213	330	19	14.6	991.6	1004.1
Haast	90	386	15.2	14	1011.4	1011.5
Milford-Sound	57	417	14	12.5	1011	1011.4
Mount-Cook	118	379	21.2	6.1	931.8	-999
Tara-Hills	124	455	22.8	7.1	949.7	1004.3
Timaru	150	399	17.6	12.6	1003.5	1006.7
Christchurch	186	374	27	7.8	998.7	1003
Le-Bons-Bay	198	381	26	8.5	976	1002.7
Secretary-Island	36	443	14.7	13.8	1007.3	1009.4
Puysegur-Point	32	478	15.3	13.5	1000.5	1005.7
Queenstown	84	430	19.9	9.1	964.5	1005.5
Invercargill	76	483	14.9	12.1	1004.5	1004.6
Nugget-Point	113	484	13.7	12.3	989.3	1004.8
Dunedin	131	462	15.9	13.9	1005	1005.3
